year,source_sheet,position_no,supervisor,unit,job_name,job_code,recruit_count,stage,subject,user_type,major_req,edu_req,degree_req,age_req,qualification,exam_category,exam_subcategory,exam_code,exam_method,need_professional_written,need_practical_test,interview_method,ratio,direct_to_written_threshold,consult_phone,notice_url,is_core_it,is_adjacent_digital,it_scope
2025,去色版,1483,高新技术产业开发区教育局,南宁市高新小学,小学信息技术教师（聘用教师控制数）,251483,1,小学,信息技术,聘用教师控制数,计算机科学与技术类，教育技术学专业,大学本科及以上,学士及以上,18-35周岁,助理级及以上,,,,笔试+面试,,,,1:3,,0771-3185216,http://gxq.nanning.gov.cn/bmwz/nngxqjyj/,True,False,信息技术/信息科技
2025,去色版,1502,高新技术产业开发区教育局,南宁市创业路学校,初中信息技术教师（聘用教师控制数）,251502,1,初中,信息技术,聘用教师控制数,计算机科学与技术类，教育技术学专业,大学本科及以上,无要求,18-40周岁,中级及以上,,,,笔试+面试,,,,1:3,,0771-3185216,http://gxq.nanning.gov.cn/bmwz/nngxqjyj/,True,False,信息技术/信息科技
2025,去色版,1514,高新技术产业开发区教育局,南宁市创业路学校,小学信息技术教师（聘用教师控制数）,251514,1,小学,信息技术,聘用教师控制数,计算机科学与技术类，教育技术学专业,大学本科及以上,无要求,18-35周岁,无要求,,,,笔试+面试,,,,1:3,,0771-3185216,http://gxq.nanning.gov.cn/bmwz/nngxqjyj/,True,False,信息技术/信息科技
2025,去色版,1546,高新技术产业开发区教育局,南宁市西庄路小学,小学信息技术教师（聘用教师控制数）,251546,1,小学,信息技术,聘用教师控制数,计算机科学与技术类，教育技术学专业,大学本科及以上,学士及以上,18-35周岁,助理级及以上,,,,笔试+面试,,,,1:3,,0771-3185216,http://gxq.nanning.gov.cn/bmwz/nngxqjyj/,True,False,信息技术/信息科技
2025,去色版,1568,高新技术产业开发区教育局,南宁市西宁路小学,小学信息技术教师（聘用教师控制数）,251568,1,小学,信息技术,聘用教师控制数,计算机科学与技术类，教育技术学专业,大学本科及以上,学士及以上,18-35周岁,助理级及以上,,,,笔试+面试,,,,1:3,,0771-3185216,http://gxq.nanning.gov.cn/bmwz/nngxqjyj/,True,False,信息技术/信息科技
2025,去色版,1664,横州市教育局,横州市职业技术学校,中职计算机应用专业教师（教职人员控制数）,251664,1,中职,计算机,中职学校教职人员控制数,计算机科学与技术类,大学本科及以上,学士及以上,18-30周岁,无要求,,,,笔试+面试,,,,1:3,,0771-7223518,http://www.gxhx.gov.cn/,False,True,相邻数字技术
2025,去色版,1665,横州市教育局,横州市职业技术学校,中职数字媒体技术应用专业教师（教职人员控制数）,251665,1,中职,未识别,中职学校教职人员控制数,视觉传达设计专业，数字媒体艺术专业，动漫设计与制作专业，影视摄影与制作专业，新媒体艺术专业，数字游戏设计专业，数字媒体技术专业，新媒体技术专业， 图形图像制作专业，媒体创意专业，计算机多媒体技术专业,大学本科及以上,学士及以上,18-30周岁,无要求,,,,笔试+面试,,,,1:3,,0771-7223518,http://www.gxhx.gov.cn/,False,True,相邻数字技术
2025,去色版,1708,横州市教育局,横州市百合中学,高中信息技术教师,251708,1,高中,信息技术,实名编,计算机科学与技术类，现代教育技术专业，科学与技术教育专业,大学本科及以上,学士及以上,18-30周岁,无要求,,,,笔试+面试,,,,1:3,,0771-7223518,http://www.gxhx.gov.cn/,True,False,信息技术/信息科技
2025,去色版,1811,横州市教育局,横州市石塘镇第三初级中学,初中信息技术教师,251811,1,初中,信息技术,实名编,计算机科学与技术类，现代教育技术专业，科学与技术教育专业,大学本科及以上,学士及以上,18-30周岁,无要求,,,,笔试+面试,,,,1:3,,0771-7223518,http://www.gxhx.gov.cn/,True,False,信息技术/信息科技
2025,去色版,1819,横州市教育局,横州市云表镇第一初级中学,初中信息技术教师,251819,1,初中,信息技术,实名编,计算机科学与技术类，现代教育技术专业，科学与技术教育专业,大学本科及以上,学士及以上,18-30周岁,无要求,,,,笔试+面试,,,,1:3,,0771-7223518,http://www.gxhx.gov.cn/,True,False,信息技术/信息科技
2025,去色版,1884,隆安县教育局,隆安县隆安中学,高中信息技术教师,251884,1,高中,信息技术,实名编,计算机科学与技术类,大学本科及以上,学士及以上,18-30周岁,无要求,,,,笔试+面试,,,,1:3,,0771-6528702,http://www.lax.gov.cn/,True,False,信息技术/信息科技
2025,去色版,1901,隆安县教育局,隆安县第三中学,初中信息技术教师,251901,1,初中,信息技术,实名编,计算机科学与技术类,大学本科及以上,学士及以上,18-35周岁,无要求,,,,笔试+面试,,,,1:3,,0771-6528702,http://www.lax.gov.cn/,True,False,信息技术/信息科技
2025,去色版,1920,隆安县教育局,隆安县职业教育中心（隆安县中等职业技术学校）,中职信息技术教师,251920,1,中职,信息技术,实名编,计算机科学与技术类,大学本科及以上,学士及以上,18-30周岁,无要求,,,,笔试+面试,,,,1:3,,0771-6528702,http://www.lax.gov.cn/,True,False,信息技术/信息科技
2026,岗位表,23,南宁市教育局,南宁市第二中学,中学信息技术教师,260023,1,中学,信息技术,实名编,计算机科学与技术类，教育技术学专业,大学本科及以上,学士及以上,18-38周岁,中级及以上,,,,直接面试,,,专业能力测试,1:3,21,0771-5757880,https://jy.nanning.gov.cn/,True,False,信息技术/信息科技
2026,岗位表,79,南宁市教育局,南宁市第三中学,初中信息技术教师 （聘用教师控制数）,260079,1,初中,信息技术,聘用教师控制数,计算机科学与技术专业，软件工程专业，网络工程专业，电子与计算机工程专业，数据科学与大数据技术专业，人工智能工程技术专业，计算机信息工程专业，计算机信息技术专业，计算机网络专业，计算机与智能科学专业，大数据工程技术专业，云计算技术专业专业，教育技术学专业，计算机科学技术专业,大学本科及以上,学士及以上,18-38周岁,不作要求,,,,笔试+面试,,,专业能力测试,1:3,,0771-5312130,https://jy.nanning.gov.cn/,True,False,信息技术/信息科技
2026,岗位表,96,南宁市教育局,南宁市第四中学,中学信息技术教师 （聘用教师控制数）,260096,1,中学,信息技术,聘用教师控制数,计算机科学与技术类，教育技术学专业,研究生,硕士及以上,18-38周岁,不作要求,,,,直接面试,,,专业能力测试,1:3,21,0771-4739595,https://jy.nanning.gov.cn/,True,False,信息技术/信息科技
2026,岗位表,124,南宁市教育局,南宁市第六职业技术学校,中职计算机教师一 （教职人员控制数）,260124,1,中职,计算机,中职学校教职人员控制数,软件工程专业，计算机科学与技术专业，计算机软件工程专业，计算机科学技术专业,大学本科及以上,学士及以上,18-38周岁,助理级及以上,,,,笔试+面试,,,专业能力测试,1:3,,0771-2812445,https://jy.nanning.gov.cn/,False,True,相邻数字技术
2026,岗位表,125,南宁市教育局,南宁市第六职业技术学校,中职计算机教师二 （教职人员控制数）,260125,1,中职,计算机,中职学校教职人员控制数,电子信息工程专业，大数据技术与工程专业，人工智能专业,大学本科及以上,学士及以上,18-38周岁,中级及以上,,,,直接面试,,,专业能力测试,1:3,21,0771-2812445,https://jy.nanning.gov.cn/,False,True,相邻数字技术
2026,岗位表,126,南宁市教育局,南宁市第六职业技术学校,中职计算机教师三 （教职人员控制数）,260126,1,中职,计算机,中职学校教职人员控制数,计算机科学与技术专业，数据科学与大数据技术专业，信息系统安全专业，计算机科学技术专业,大学本科及以上,学士及以上,18-38周岁,中级及以上,,,,直接面试,,,专业能力测试,1:3,21,0771-2812445,https://jy.nanning.gov.cn/,False,True,相邻数字技术
2026,岗位表,231,南宁市教育局,南宁市第十四中学,中学信息技术教师 （聘用教师控制数）,260231,1,中学,信息技术,聘用教师控制数,教育技术学专业，人工智能专业，现代教育技术专业,大学本科及以上,学士及以上,18-38周岁,不作要求,,,,笔试+面试,,,专业能力测试,1:3,,0771-5718695,https://jy.nanning.gov.cn/,True,False,信息技术/信息科技
2026,岗位表,285,南宁市教育局,南宁市第三职业技术学校,中职计算机教师 （教职人员控制数）,260285,1,中职,计算机,中职学校教职人员控制数,计算机科学与技术专业，计算机科学技术专业，软件工程专业，网络工程专业，计算机管理专业，计算机应用专业，计算机控制专业，教育技术学专业,大学本科及以上,学士及以上,18-43周岁,中级及以上,,,,直接面试,,,专业能力测试,1:3,21,0771-5608366,https://jy.nanning.gov.cn/,False,True,相邻数字技术
2026,岗位表,306,南宁市教育局,南宁市第四职业技术学校,中职智能制造专业教师,260306,2,中职,未识别,实名编,职业技术教育专业，职业技术教育学专业，中等职业学校教师专业,研究生,硕士及以上,18-38周岁,不作要求,,,,直接面试,,,专业能力测试,1:3,21,0771-5714369,https://jy.nanning.gov.cn/,False,True,相邻数字技术
2026,岗位表,417,南宁市教育局,南宁市中小学校外教育活动中心,信息技术教师,260417,1,未标注,信息技术,实名编,计算机科学与技术类,研究生,硕士及以上,18-38周岁,不作要求,,,,直接面试,,,专业能力测试,1:3,21,0771-5502620,https://jy.nanning.gov.cn/,True,False,信息技术/信息科技
